iter	Passed	Remaining
0	139	139048
1	139	69720
2	140	46608
3	140	35048
4	141	28099
5	141	23454
6	141	20139
7	142	17653
8	142	15721
9	143	14174
10	143	12913
11	144	11928
12	145	11052
13	146	10285
14	146	9616
15	146	9030
16	147	8512
17	147	8053
18	148	7648
19	148	7300
20	150	6994
21	150	6695
22	151	6418
23	151	6161
24	151	5924
25	152	5705
26	152	5501
27	153	5321
28	154	5156
29	155	5023
30	156	4880
31	156	4736
32	157	4600
33	157	4480
34	158	4367
35	159	4258
36	159	4156
37	160	4061
38	160	3963
39	161	3874
40	162	3792
41	162	3709
42	163	3627
43	163	3550
44	163	3479
45	164	3411
46	165	3345
47	165	3284
48	166	3224
49	166	3167
50	167	3112
51	167	3060
52	168	3008
53	168	2959
54	169	2911
55	170	2866
56	170	2821
57	171	2778
58	171	2736
59	172	2699
60	172	2662
61	173	2626
62	174	2590
63	174	2555
64	175	2520
65	175	2489
66	176	2456
67	176	2422
68	177	2392
69	177	2363
70	178	2335
71	179	2309
72	179	2282
73	180	2257
74	180	2232
75	181	2207
76	182	2183
77	182	2160
78	183	2137
79	183	2115
80	184	2093
81	184	2070
82	185	2049
83	186	2030
84	186	2008
85	187	1989
86	187	1968
87	188	1949
88	188	1930
89	189	1914
90	189	1897
91	190	1881
92	191	1865
93	191	1849
94	192	1834
95	193	1819
96	193	1802
97	194	1787
98	194	1773
99	195	1759
100	196	1745
101	196	1729
102	197	1716
103	197	1702
104	198	1689
105	198	1677
106	199	1665
107	200	1653
108	200	1641
109	201	1629
110	201	1617
111	202	1605
112	202	1593
113	203	1582
114	204	1571
115	204	1559
116	205	1548
117	205	1537
118	206	1526
119	206	1516
120	207	1506
121	207	1496
122	208	1485
123	208	1475
124	209	1466
125	210	1457
126	210	1448
127	211	1437
128	211	1429
129	212	1420
130	212	1411
131	213	1402
132	213	1393
133	214	1384
134	214	1376
135	215	1368
136	216	1361
137	216	1352
138	217	1345
139	217	1337
140	218	1329
141	218	1322
142	219	1314
143	219	1306
144	220	1299
145	220	1292
146	221	1285
147	222	1278
148	222	1271
149	223	1264
150	223	1257
151	224	1251
152	224	1244
153	225	1238
154	225	1231
155	226	1225
156	227	1219
157	227	1213
158	228	1207
159	229	1202
160	229	1196
161	230	1190
162	230	1184
163	231	1179
164	231	1173
165	232	1168
166	233	1163
167	233	1157
168	234	1152
169	234	1146
170	235	1142
171	236	1137
172	236	1132
173	237	1127
174	238	1122
175	238	1117
176	239	1112
177	239	1107
178	240	1103
179	241	1098
180	241	1092
181	242	1087
182	242	1083
183	243	1079
184	244	1075
185	244	1070
186	245	1066
187	245	1061
188	246	1057
189	246	1052
190	247	1048
191	248	1044
192	248	1040
193	249	1036
194	250	1032
195	250	1027
196	251	1023
197	251	1019
198	252	1015
199	252	1011
200	253	1007
201	254	1003
202	254	999
203	255	996
204	255	992
205	256	988
206	257	984
207	257	981
208	258	977
209	258	973
210	259	970
211	260	966
212	260	963
213	261	959
214	261	955
215	262	952
216	262	948
217	263	945
218	264	941
219	264	938
220	265	934
221	265	930
222	266	927
223	266	923
224	267	920
225	267	916
226	268	913
227	268	909
228	269	906
229	269	902
230	270	899
231	270	895
232	271	892
233	271	889
234	272	886
235	272	883
236	273	880
237	273	876
238	274	873
239	274	870
240	275	867
241	275	864
242	276	861
243	277	858
244	277	855
245	278	853
246	279	850
247	279	848
248	280	845
249	280	842
250	281	840
251	282	837
252	282	834
253	283	831
254	283	829
255	284	826
256	285	824
257	285	821
258	286	819
259	286	816
260	287	814
261	288	811
262	288	808
263	289	805
264	289	803
265	290	801
266	290	798
267	291	795
268	292	793
269	292	791
270	293	788
271	293	785
272	294	783
273	294	780
274	295	778
275	295	775
276	296	773
277	297	771
278	297	769
279	298	767
280	299	766
281	300	764
282	300	762
283	301	760
284	302	758
285	302	756
286	303	754
287	304	752
288	304	750
289	305	748
290	306	746
291	307	744
292	307	742
293	308	740
294	309	738
295	309	736
296	310	734
297	311	733
298	311	731
299	312	729
300	313	727
301	313	725
302	314	723
303	315	721
304	315	719
305	316	717
306	317	715
307	317	713
308	318	711
309	319	710
310	319	708
311	320	706
312	320	704
313	321	702
314	322	700
315	322	698
316	323	696
317	324	695
318	324	693
319	325	691
320	325	689
321	326	687
322	327	686
323	328	684
324	328	682
325	329	681
326	330	679
327	330	677
328	331	676
329	332	674
330	332	672
331	333	671
332	334	669
333	334	667
334	335	666
335	336	664
336	336	662
337	337	661
338	338	659
339	339	658
340	339	656
341	340	655
342	341	653
343	341	651
344	342	650
345	343	648
346	344	647
347	344	645
348	345	644
349	346	642
350	346	641
351	347	639
352	348	637
353	348	636
354	349	634
355	350	633
356	351	632
357	351	631
358	352	629
359	353	628
360	354	626
361	354	625
362	355	623
363	356	622
364	356	620
365	357	619
366	358	618
367	359	616
368	359	615
369	360	613
370	361	612
371	361	611
372	362	609
373	363	608
374	364	607
375	364	605
376	365	604
377	366	602
378	366	601
379	367	599
380	368	598
381	368	596
382	369	595
383	370	594
384	371	592
385	371	591
386	372	590
387	373	588
388	374	587
389	374	586
390	375	584
391	376	583
392	376	582
393	377	580
394	378	579
395	379	578
396	379	576
397	380	575
398	381	574
399	381	572
400	382	571
401	383	570
402	383	568
403	384	567
404	385	566
405	386	564
406	387	563
407	387	562
408	388	561
409	389	560
410	389	558
411	390	557
412	391	556
413	392	555
414	392	553
415	393	552
